Simulation started: 24-Sep-2025 09:59:46
[10.000] Step 10/300: Time: 10.0 s, Total Energy: 0.058 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[20.000] Step 20/300: Time: 20.0 s, Total Energy: 0.118 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[30.000] Step 30/300: Time: 30.0 s, Total Energy: 0.179 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[40.000] Step 40/300: Time: 40.0 s, Total Energy: 0.239 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[50.000] Step 50/300: Time: 50.0 s, Total Energy: 0.299 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[60.000] Step 60/300: Time: 60.0 s, Total Energy: 0.360 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[70.000] Step 70/300: Time: 70.0 s, Total Energy: 0.420 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[80.000] Step 80/300: Time: 80.0 s, Total Energy: 0.481 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[90.000] Step 90/300: Time: 90.0 s, Total Energy: 0.541 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[100.000] Step 100/300: Time: 100.0 s, Total Energy: 0.601 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[110.000] Step 110/300: Time: 110.0 s, Total Energy: 0.662 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[120.000] Step 120/300: Time: 120.0 s, Total Energy: 0.722 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[130.000] Step 130/300: Time: 130.0 s, Total Energy: 0.782 kWh, Power: 21.7 kW, Drop Rate: 0.10%
[140.000] Step 140/300: Time: 140.0 s, Total Energy: 0.843 kWh, Power: 21.7 kW, Drop Rate: 0.10%
