TIMESTAMP: 5, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.24, RSRP_TARGET: -96.98, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.93, SINR_TARGET: 13.17, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 6, UE_ID: 21, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.23, RSRP_TARGET: -96.33, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.19, SINR_TARGET: 14.79, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 7, UE_ID: 69, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -113.87, RSRP_TARGET: -102.13, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.03, SINR_TARGET: 6.79, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 12, UE_ID: 21, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 4, RSRP_SOURCE: -110.41, RSRP_TARGET: -99.17, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.74, SINR_TARGET: 11.08, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 13, UE_ID: 55, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 2, RSRP_SOURCE: -111.04, RSRP_TARGET: -100.80, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -19.07, SINR_TARGET: 6.48, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 17, UE_ID: 17, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.83, RSRP_TARGET: -99.85, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.39, SINR_TARGET: 10.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 17, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 1, RSRP_SOURCE: -111.80, RSRP_TARGET: -98.19, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.42, SINR_TARGET: 9.96, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 20, UE_ID: 69, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 4, RSRP_SOURCE: -111.73, RSRP_TARGET: -95.96, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.53, SINR_TARGET: 13.10, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 26, UE_ID: 23, CELL_SOURCE_ID: 15, CELL_TARGET_ID: 1, RSRP_SOURCE: -106.05, RSRP_TARGET: -95.98, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.60, SINR_TARGET: 17.47, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 28, UE_ID: 96, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 1, RSRP_SOURCE: -91.45, RSRP_TARGET: -69.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.06, SINR_TARGET: 37.58, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 30, UE_ID: 17, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 4, RSRP_SOURCE: -111.58, RSRP_TARGET: -98.73, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.07, SINR_TARGET: 13.42, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 31, UE_ID: 92, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.62, RSRP_TARGET: -78.95, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -17.83, SINR_TARGET: 27.09, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 33, UE_ID: 38, CELL_SOURCE_ID: 19, CELL_TARGET_ID: 2, RSRP_SOURCE: -112.63, RSRP_TARGET: -99.26, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.69, SINR_TARGET: 11.35, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
